Age,Year,Population,Life_Expectancy,Retirement_age,Contribution_rate,1999_dummy,Reference_amount_1984,Birth_Year,Revaleurisation_rate,Adjustment_factor_1984,Salary,Income_per_year
15,1960,4032.4,56.8,62.1,0.24,0,2085,1945,0.488,0.3469250873094803,1840.5022943579916,898.1651196466998
15,1961,4056.2,56.8,62.1,0.24,0,2085,1946,0.51,0.3469250873094803,1761.1080777386271,898.1651196466998
15,1965,4731.2,56.8,62.1,0.24,0,2085,1950,0.581,0.3469250873094803,1545.8952145382098,898.1651196466998
15,1967,4799.6,56.8,62.1,0.24,0,2085,1952,0.613,0.3469250873094803,1465.1959537466555,898.1651196466998
15,1970,5060.2,56.8,62.1,0.24,0,2085,1955,0.719,0.38485556352198347,1249.1865363653685,898.1651196466998
15,1971,5129.8,56.8,62.1,0.24,0,2085,1956,0.746,0.4002590373985244,1203.9746912154153,898.1651196466998
15,1972,5193.0,57.2,62.1,0.24,0,2085,1957,0.775,0.4216758794550963,1158.9227350279998,898.1651196466998
15,1973,5216.8,57.4,62.1,0.24,0,2085,1958,0.806,0.44577560885352824,1114.348783680769,898.1651196466998
15,1974,5266.4,57.3,62.1,0.24,0,2085,1959,0.901,0.475958091449453,996.8536289086569,898.1651196466998
15,1975,5277.4,57.2,62.1,0.24,0,2085,1960,0.901,0.5281356245807989,996.8536289086569,898.1651196466998
15,1976,5302.2,57.3,62.1,0.24,0,2085,1961,0.909,0.5905127552790433,988.0804396553353,898.1651196466998
15,1977,5291.2,58.3,62.1,0.24,0,2085,1962,0.926,0.6371394870134376,969.9407339597191,898.1651196466998
15,1978,5233.0,58.2,62.1,0.24,0,2085,1963,0.943,0.6611235747160997,952.4550579498408,898.1651196466998
15,1979,5146.4,59.1,62.1,0.24,0,2085,1964,0.962,0.6857089992367649,933.6435755163201,898.1651196466998
15,1980,5264.4,59.1,62.1,0.24,0,2085,1965,0.971,0.7247033790503503,924.9898245589083,898.1651196466998
15,1981,5135.0,59.0,62.1,0.24,0,2085,1966,0.98,0.7772972222864676,916.4950200476529,898.1651196466998
15,1982,5002.6,59.0,62.1,0.24,0,2085,1967,1.0,0.8448551009552004,898.1651196466998,898.1651196466998
15,1983,4795.0,59.6,62.1,0.24,0,2085,1968,0.99,0.9310312926428753,907.2374945926261,898.1651196466998
15,1984,4557.4,59.5,62.1,0.24,0,2085,1969,1.0,1.0,898.1651196466998,898.1651196466998
15,1985,4362.2,59.9,62.1,0.24,0,2085,1970,1.01,1.020052270046488,889.2723956898018,898.1651196466998
15,1986,4206.8,60.5,62.1,0.24,0,2085,1971,1.033,1.0571269977102944,869.4725262794772,898.1651196466998
15,1987,4080.6,60.3,62.1,0.24,0,2085,1972,1.044,1.0456090848116195,860.3114172861109,898.1651196466998
15,1988,4052.2,60.9,62.1,0.24,0,2085,1973,1.057,1.0522237898096538,849.7304821633868,898.1651196466998
15,1989,4095.6,60.9,62.1,0.24,0,2085,1974,1.088,1.0783588130536346,825.5194114399815,898.1651196466998
15,1990,4175.6,61.5,62.1,0.24,0,2085,1975,1.103,1.1212618821842404,814.2929461892111,898.1651196466998
15,1991,4250.6,61.7,62.1,0.24,0,2085,1976,1.129,1.1620140157735273,845.5526301822367,954.6289194757453
15,1992,4366.6,61.2,62.2,0.24,0,2085,1977,1.14,1.1959432893123945,896.0817953017771,1021.5332466440258
15,1993,4450.8,61.8,60.8,0.24,0,2085,1978,1.164,1.2380831232509193,930.2410197289428,1082.8005469644893
15,1994,4530.6,62.3,61.8,0.24,0,2085,1979,1.183,1.2707634664754726,954.4735281476513,1129.1421837986716
15,1995,4582.4,62.4,62.0,0.24,0,2085,1980,1.202,1.2978698799639197,957.3948872473992,1150.7886544713738
15,1996,4603.8,62.4,61.8,0.24,0,2085,1981,1.211,1.3125563753266878,977.2341416514744,1183.4305455399356
15,1997,4665.6,62.6,61.8,0.24,0,2085,1982,1.218,1.3345282975229549,1005.712997478819,1224.9584309292015
15,1998,4746.6,62.9,61.9,0.24,0,2085,1983,1.233,1.3534935356292066,1012.3687996959261,1248.250730025077
15,1999,4895.0,63.5,62.3,0.24,0,2085,1984,1.255,1.3351990193584198,1043.4853120303194,1309.5740665980506
15,2000,5036.4,63.6,62.4,0.24,1,2085,1985,1.277,1.3769225431921734,1091.5378504162466,1393.893834981547
15,2001,5287.6,63.7,62.5,0.24,1,2085,1986,1.299,1.4168883132502255,1104.8979616633528,1435.2624522006952
15,2002,5376.0,63.8,62.2,0.24,1,2085,1987,1.316,1.4497074265097023,1128.8189194019171,1485.525697932923
15,2003,5501.0,63.4,62.0,0.24,1,2085,1988,1.325,1.483197261604644,1140.4401118183189,1511.0831481592725
15,2004,5612.8,64.6,61.7,0.24,1,2085,1989,1.337,1.5123158405994865,1169.850516614288,1564.0901407133028
15,2005,5741.0,65.0,61.6,0.24,1,2085,1990,1.35,1.542058884751486,1202.279883148675,1623.0778422507115
15,2006,5839.8,64.7,61.5,0.24,1,2085,1991,1.368,1.586095242500636,1231.6390977007518,1684.8822856546287
15,2007,5981.4,64.9,61.5,0.24,1,2085,1992,1.377,1.6211578046580477,1283.7988380315114,1767.7909999693911
15,2008,6069.8,66.0,61.4,0.24,1,2085,1993,1.391,1.6740060596248583,1303.175789814844,1812.7175236324479
15,2009,6079.2,66.2,61.4,0.24,1,2085,1994,1.403,1.6823785183985938,1317.9579666939865,1849.0950272716632
15,2010,6123.4,66.2,61.3,0.24,1,2085,1995,1.418,1.7167472303813862,1331.3495357213687,1887.8536416529007
15,2011,6214.0,66.5,61.4,0.24,1,2085,1996,1.424,1.7706131322709715,1372.5139022410463,1954.4597967912498
15,2012,6203.4,66.7,61.7,0.24,1,2085,1997,1.42,1.821796146818697,1391.556302662028,1976.0099497800795
15,2013,6207.6,67.3,61.6,0.24,1,2085,1998,1.426,1.859079029534889,1424.2841691060628,2031.0292251452454
15,2014,6217.2,67.7,61.6,0.24,1,2085,1999,1.433,1.8875500150334203,1450.5489760924986,2078.6366827405504
15,2015,6237.6,67.7,61.6,0.24,1,2085,2000,1.446,1.8798714064343038,1458.1003377003665,2108.41308831473
15,2016,6212.6,68.1,61.6,0.24,1,2085,2001,1.45,1.889145870435044,1460.998583592412,2118.447946208997
15,2017,6321.0,67.5,61.8,0.24,1,2085,2002,1.462,1.921109235145824,1499.5917985124295,2192.403209425172
15,2018,6416.2,67.8,61.7,0.24,1,2085,2003,1.484,1.9427342322547818,1513.2516699734751,2245.665478240637
15,2019,6532.0,68.1,61.7,0.24,1,2085,2004,1.503,1.9783287462127344,1516.8918781692043,2279.888492888314
15,2020,6620.2,67.6,61.7,0.24,1,2085,2005,1.52,2.0156347572680806,1528.729904801577,2323.669455298397
15,2021,6776.2,68.0,61.6,0.24,1,2085,2006,1.553,2.0469967851608573,1589.4116090479913,2468.3562288515304
15,2022,6835.4,68.4,61.6,0.24,1,2085,2007,1.57,2.1184864814857645,1651.6044824942471,2593.019037515968
15,2023,7037.0,68.8,61.4,0.24,1,2085,2008,1.595,2.2194416818928233,1745.0531498680914,2783.359774039606
15,2024,7179.2,68.8,61.4,0.24,1,2085,2009,1.595,2.270948493188704,1806.0747965685334,2880.6893005268107
15,2025,7120.0,68.8,61.4,0.24,1,2085,2010,1.595,2.270948493188704,1869.2302701763765,2981.4222809313205
15,2026,7358.0,68.8,61.4,0.24,1,2085,2011,1.595,2.270948493188704,1934.5941871190194,3085.6777284548357
15,2027,7169.0,68.8,61.4,0.24,1,2085,2012,1.595,2.270948493188704,2002.243773037952,3193.5788179955334
15,2028,7418.0,68.8,61.4,0.24,1,2085,2013,1.595,2.270948493188704,2072.2589540286954,3305.2530316757693
15,2029,7568.0,68.8,61.4,0.24,1,2085,2014,1.595,2.270948493188704,2144.72245107125,3420.8323094586435
15,2030,7681.0,68.8,61.4,0.24,1,2085,2015,1.595,2.270948493188704,2219.7198777626195,3540.453205031378
15,2031,7570.0,68.8,61.4,0.24,1,2085,2016,1.595,2.270948493188704,2297.339841466887,3664.2570471396843
15,2032,7614.0,68.8,61.4,0.24,1,2085,2017,1.595,2.270948493188704,2377.6740480023373,3792.390106563728
15,2033,7690.0,68.8,61.4,0.24,1,2085,2018,1.595,2.270948493188704,2460.8174099893204,3925.003768932966
15,2034,7714.0,68.8,61.4,0.24,1,2085,2019,1.595,2.270948493188704,2546.86815898686,4062.254713584042
15,2035,7718.0,68.8,61.4,0.24,1,2085,2020,1.595,2.270948493188704,2635.927961550495,4204.3050986730395
15,2036,7787.0,68.8,61.4,0.24,1,2085,2021,1.595,2.270948493188704,2728.1020393484746,4351.322752760817
15,2037,7955.0,68.8,61.4,0.24,1,2085,2022,1.595,2.270948493188704,2823.499293478219,4503.481373097759
15,2038,8006.0,68.8,61.4,0.24,1,2085,2023,1.595,2.270948493188704,2922.232433129925,4660.96073084223
15,2039,8363.0,68.8,61.4,0.24,1,2085,2024,1.595,2.270948493188704,3024.4181087493216,4823.946883455168
15,2040,8470.0,68.8,61.4,0.24,1,2085,2025,1.595,2.270948493188704,3130.177049856915,4992.632394521779
15,2041,8544.0,68.8,61.4,0.24,1,2085,2026,1.595,2.270948493188704,3239.634207686542,5167.216561260035
15,2042,8604.0,68.8,61.4,0.24,1,2085,2027,1.595,2.270948493188704,3352.9189028117644,5347.905649984764
15,2043,8651.0,68.8,61.4,0.24,1,2085,2028,1.595,2.270948493188704,3470.1649779345066,5534.913139805538
15,2044,8691.0,68.8,61.4,0.24,1,2085,2029,1.595,2.270948493188704,3591.510956016477,5728.459974846281
15,2045,8718.0,68.8,61.4,0.24,1,2085,2030,1.595,2.270948493188704,3717.100203940169,5928.7748252845695
15,2046,8731.0,68.8,61.4,0.24,1,2085,2031,1.595,2.270948493188704,3847.081101892832,6136.094357519067
15,2047,8730.0,68.8,61.4,0.24,1,2085,2032,1.595,2.270948493188704,3981.6072186735137,6350.663513784254
15,2048,8719.0,68.8,61.4,0.24,1,2085,2033,1.595,2.270948493188704,4120.837493130306,6572.735801542838
