Age,Year,Life_Expectancy
1,1971,70.1
1,1972,70.8
1,1973,70.7
1,1974,70.7
1,1975,70.8
1,1976,71.0
1,1977,71.9
1,1978,71.8
1,1979,72.7
1,1980,72.7
1,1981,72.6
1,1982,72.5
1,1983,73.3
1,1984,73.2
1,1985,73.5
1,1986,74.3
1,1987,74.0
1,1988,74.7
1,1989,74.6
1,1990,75.2
1,1991,75.4
1,1992,75.0
1,1993,75.4
1,1994,76.1
1,1995,76.2
1,1996,76.2
1,1997,76.5
1,1998,76.7
1,1999,77.4
1,2000,77.4
1,2001,77.5
1,2002,77.5
1,2003,77.2
1,2004,78.6
1,2005,78.8
1,2006,78.6
1,2007,78.7
1,2008,79.8
1,2009,80.0
1,2010,80.1
1,2011,80.4
1,2012,80.7
1,2013,81.2
1,2014,81.5
1,2015,81.6
1,2016,82.0
1,2017,81.4
1,2018,81.7
1,2019,82.1
1,2020,81.5
1,2021,81.9
1,2022,82.3
1,2023,82.7
2,1971,69.3
2,1972,69.9
2,1973,69.8
2,1974,69.9
2,1975,69.8
2,1976,70.0
2,1977,71.0
2,1978,70.9
2,1979,71.7
2,1980,71.7
2,1981,71.7
2,1982,71.6
2,1983,72.3
2,1984,72.3
2,1985,72.6
2,1986,73.3
2,1987,73.1
2,1988,73.7
2,1989,73.6
2,1990,74.3
2,1991,74.4
2,1992,74.0
2,1993,74.5
2,1994,75.1
2,1995,75.2
2,1996,75.2
2,1997,75.5
2,1998,75.8
2,1999,76.4
2,2000,76.5
2,2001,76.5
2,2002,76.6
2,2003,76.3
2,2004,77.6
2,2005,77.8
2,2006,77.7
2,2007,77.7
2,2008,78.8
2,2009,79.1
2,2010,79.1
2,2011,79.5
2,2012,79.7
2,2013,80.2
2,2014,80.5
2,2015,80.6
2,2016,81.0
2,2017,80.4
2,2018,80.7
2,2019,81.1
2,2020,80.5
2,2021,81.0
2,2022,81.3
2,2023,81.7
3,1971,68.3
3,1972,68.9
3,1973,68.9
3,1974,69.0
3,1975,68.9
3,1976,69.1
3,1977,70.0
3,1978,69.9
3,1979,70.8
3,1980,70.8
3,1981,70.7
3,1982,70.7
3,1983,71.4
3,1984,71.3
3,1985,71.6
3,1986,72.3
3,1987,72.1
3,1988,72.8
3,1989,72.7
3,1990,73.3
3,1991,73.5
3,1992,73.1
3,1993,73.5
3,1994,74.1
3,1995,74.3
3,1996,74.2
3,1997,74.5
3,1998,74.8
3,1999,75.4
3,2000,75.5
3,2001,75.5
3,2002,75.6
3,2003,75.3
3,2004,76.6
3,2005,76.8
3,2006,76.7
3,2007,76.7
3,2008,77.9
3,2009,78.1
3,2010,78.1
3,2011,78.5
3,2012,78.7
3,2013,79.2
3,2014,79.6
3,2015,79.6
3,2016,80.1
3,2017,79.4
3,2018,79.7
3,2019,80.1
3,2020,79.5
3,2021,80.0
3,2022,80.3
3,2023,80.7
4,1971,67.4
4,1972,68.0
4,1973,68.0
4,1974,68.1
4,1975,67.9
4,1976,68.1
4,1977,69.1
4,1978,69.0
4,1979,69.8
4,1980,69.8
4,1981,69.8
4,1982,69.7
4,1983,70.4
4,1984,70.4
4,1985,70.7
4,1986,71.3
4,1987,71.1
4,1988,71.8
4,1989,71.7
4,1990,72.3
4,1991,72.5
4,1992,72.1
4,1993,72.5
4,1994,73.2
4,1995,73.3
4,1996,73.3
4,1997,73.5
4,1998,73.8
4,1999,74.4
4,2000,74.5
4,2001,74.6
4,2002,74.6
4,2003,74.3
4,2004,75.6
4,2005,75.8
4,2006,75.7
4,2007,75.7
4,2008,76.9
4,2009,77.1
4,2010,77.1
4,2011,77.5
4,2012,77.7
4,2013,78.2
4,2014,78.6
4,2015,78.6
4,2016,79.1
4,2017,78.4
4,2018,78.7
4,2019,79.1
4,2020,78.5
4,2021,79.0
4,2022,79.3
4,2023,79.8
5,1971,66.4
5,1972,67.0
5,1973,67.1
5,1974,67.1
5,1975,66.9
5,1976,67.1
5,1977,68.2
5,1978,68.0
5,1979,68.9
5,1980,68.8
5,1981,68.8
5,1982,68.7
5,1983,69.4
5,1984,69.4
5,1985,69.7
5,1986,70.3
5,1987,70.1
5,1988,70.8
5,1989,70.7
5,1990,71.4
5,1991,71.5
5,1992,71.1
5,1993,71.5
5,1994,72.2
