DATAFLOW,REF_AREA: Reference area,MEASURE: Measure,UNIT_MEASURE: Unit of measure,PAY_PERIOD: Pay period,PRICE_BASE: Price base,AGGREGATION_OPERATION: Aggregation operation,SEX: Sex,TIME_PERIOD: Time period,OBS_VALUE,BASE_PER: Base period,OBS_STATUS: Observation status,UNIT_MULT: Unit multiplier,DECIMALS: Decimals
OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),LUX: Luxembourg,WG: Wages,"USD_PPP: US dollars, PPP converted",A: Annual,Q: Constant prices,MEAN: Mean,_Z: Not applicable,1990,61810.896,2024.0,A: Normal value,0: Units,0: Zero
OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),LUX: Luxembourg,WG: Wages,"USD_PPP: US dollars, PPP converted",A: Annual,Q: Constant prices,MEAN: Mean,_Z: Not applicable,1991,63557.749,2024.0,A: Normal value,0: Units,0: Zero
OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),LUX: Luxembourg,WG: Wages,"USD_PPP: US dollars, PPP converted",A: Annual,Q: Constant prices,MEAN: Mean,_Z: Not applicable,1992,65246.468,2024.0,A: Normal value,0: Units,0: Zero
OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),LUX: Luxembourg,WG: Wages,"USD_PPP: US dollars, PPP converted",A: Annual,Q: Constant prices,MEAN: Mean,_Z: Not applicable,1993,66510.658,2024.0,A: Normal value,0: Units,0: Zero
OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),LUX: Luxembourg,WG: Wages,"USD_PPP: US dollars, PPP converted",A: Annual,Q: Constant prices,MEAN: Mean,_Z: Not applicable,1994,67587.207,2024.0,A: Normal value,0: Units,0: Zero
OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),LUX: Luxembourg,WG: Wages,"USD_PPP: US dollars, PPP converted",A: Annual,Q: Constant prices,MEAN: Mean,_Z: Not applicable,1995,67541.42,2024.0,A: Normal value,0: Units,0: Zero
OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),LUX: Luxembourg,WG: Wages,"USD_PPP: US dollars, PPP converted",A: Annual,Q: Constant prices,MEAN: Mean,_Z: Not applicable,1996,68387.777,2024.0,A: Normal value,0: Units,0: Zero
OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),LUX: Luxembourg,WG: Wages,"USD_PPP: US dollars, PPP converted",A: Annual,Q: Constant prices,MEAN: Mean,_Z: Not applicable,1997,69740.545,2024.0,A: Normal value,0: Units,0: Zero
OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),LUX: Luxembourg,WG: Wages,"USD_PPP: US dollars, PPP converted",A: Annual,Q: Constant prices,MEAN: Mean,_Z: Not applicable,1998,69926.709,2024.0,A: Normal value,0: Units,0: Zero
OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),LUX: Luxembourg,WG: Wages,"USD_PPP: US dollars, PPP converted",A: Annual,Q: Constant prices,MEAN: Mean,_Z: Not applicable,1999,71601.145,2024.0,A: Normal value,0: Units,0: Zero
OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),LUX: Luxembourg,WG: Wages,"USD_PPP: US dollars, PPP converted",A: Annual,Q: Constant prices,MEAN: Mean,_Z: Not applicable,2000,73914.368,2024.0,A: Normal value,0: Units,0: Zero
OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),LUX: Luxembourg,WG: Wages,"USD_PPP: US dollars, PPP converted",A: Annual,Q: Constant prices,MEAN: Mean,_Z: Not applicable,2001,74292.334,2024.0,A: Normal value,0: Units,0: Zero
