Age,Year,Population,Life_Expectancy
1,1960,4867.0,70.1
1,1961,4895.6,70.1
1,1965,5098.4,70.1
1,1967,5172.0,70.1
1,1970,4738.2,70.1
1,1971,4706.4,70.1
1,1972,4601.0,70.8
1,1973,4451.8,70.7
1,1974,4264.4,70.7
1,1975,4167.6,70.8
1,1976,4087.2,71.0
1,1977,3960.6,71.9
1,1978,3924.6,71.8
1,1979,3950.4,72.7
1,1980,4070.2,72.7
1,1981,4123.8,72.6
1,1982,4231.2,72.5
1,1983,4252.2,73.3
1,1984,4257.2,73.2
1,1985,4240.4,73.5
1,1986,4218.4,74.3
1,1987,4222.2,74.0
1,1988,4258.2,74.7
1,1989,4391.2,74.6
1,1990,4540.4,75.2
1,1991,4785.6,75.4
1,1992,4937.6,75.0
1,1993,5128.2,75.4
1,1994,5270.4,76.1
1,1995,5433.2,76.2
1,1996,5496.0,76.2
1,1997,5627.0,76.5
1,1998,5688.4,76.7
1,1999,5683.8,77.4
1,2000,5692.0,77.4
1,2001,5681.0,77.5
1,2002,5642.8,77.5
1,2003,5587.2,77.2
1,2004,5606.4,78.6
1,2005,5584.8,78.8
1,2006,5546.2,78.6
1,2007,5584.0,78.7
1,2008,5612.2,79.8
1,2009,5702.2,80.0
1,2010,5730.4,80.1
1,2011,5863.6,80.4
1,2012,5912.2,80.7
1,2013,6053.0,81.2
1,2014,6214.8,81.5
1,2015,6336.8,81.6
1,2016,6405.2,82.0
1,2017,6412.6,81.4
1,2018,6451.4,81.7
1,2019,6518.4,82.1
1,2020,6596.4,81.5
1,2021,6651.0,81.9
1,2022,6745.0,82.3
1,2023,6814.2,82.7
1,2024,6784.6,82.7
1,2025,7416.0,82.7
1,2026,7530.0,82.7
1,2027,7630.0,82.7
1,2028,7713.0,82.7
1,2029,7781.0,82.7
1,2030,7844.0,82.7
1,2031,7893.0,82.7
1,2032,7927.0,82.7
1,2033,7947.0,82.7
1,2034,7957.0,82.7
1,2035,7961.0,82.7
1,2036,7961.0,82.7
1,2037,7959.0,82.7
1,2038,7960.0,82.7
1,2039,7962.0,82.7
1,2040,7970.0,82.7
1,2041,7983.0,82.7
1,2042,7999.0,82.7
1,2043,8019.0,82.7
1,2044,8044.0,82.7
1,2045,8073.0,82.7
1,2046,8102.0,82.7
1,2047,8132.0,82.7
1,2048,8163.0,82.7
1,2049,8194.0,82.7
1,2050,8224.0,82.7
1,2051,8255.0,82.7
1,2052,8284.0,82.7
1,2053,8315.0,82.7
1,2054,8347.0,82.7
1,2055,8379.0,82.7
1,2056,8412.0,82.7
1,2057,8444.0,82.7
1,2058,8475.0,82.7
1,2059,8504.0,82.7
1,2060,8530.0,82.7
1,2061,8551.0,82.7
1,2062,8567.0,82.7
1,2063,8580.0,82.7
1,2064,8586.0,82.7
1,2065,8586.0,82.7
1,2066,8583.0,82.7
1,2067,8575.0,82.7
1,2068,8564.0,82.7
1,2069,8550.0,82.7
1,2070,8535.0,82.7
1,2071,8519.0,82.7
1,2072,8504.0,82.7
1,2073,8490.0,82.7
1,2074,8478.0,82.7
1,2075,8467.0,82.7
1,2076,8460.0,82.7
1,2077,8453.0,82.7
1,2078,8448.0,82.7
1,2079,8447.0,82.7
1,2080,8448.0,82.7
1,2081,8449.0,82.7
1,2082,8453.0,82.7
1,2083,8457.0,82.7
1,2084,8463.0,82.7
1,2085,8470.0,82.7
1,2086,8477.0,82.7
1,2087,8484.0,82.7
1,2088,8492.0,82.7
1,2089,8500.0,82.7
1,2090,8507.0,82.7
1,2091,8514.0,82.7
1,2092,8519.0,82.7
1,2093,8523.0,82.7
1,2094,8526.0,82.7
1,2095,8527.0,82.7
1,2096,8526.0,82.7
1,2097,8524.0,82.7
1,2098,8520.0,82.7
1,2099,8515.0,82.7
1,2100,8509.0,82.7
2,1960,4867.0,69.3
2,1961,4895.6,69.3
2,1965,5098.4,69.3
2,1967,5172.0,69.3
2,1970,4738.2,69.3
2,1971,4706.4,69.3
2,1972,4601.0,69.9
2,1973,4451.8,69.8
2,1974,4264.4,69.9
2,1975,4167.6,69.8
2,1976,4087.2,70.0
2,1977,3960.6,71.0
2,1978,3924.6,70.9
2,1979,3950.4,71.7
2,1980,4070.2,71.7
2,1981,4123.8,71.7
2,1982,4231.2,71.6
2,1983,4252.2,72.3
2,1984,4257.2,72.3
2,1985,4240.4,72.6
2,1986,4218.4,73.3
2,1987,4222.2,73.1
2,1988,4258.2,73.7
2,1989,4391.2,73.6
2,1990,4540.4,74.3
2,1991,4785.6,74.4
2,1992,4937.6,74.0
2,1993,5128.2,74.5
2,1994,5270.4,75.1
2,1995,5433.2,75.2
2,1996,5496.0,75.2
2,1997,5627.0,75.5
2,1998,5688.4,75.8
2,1999,5683.8,76.4
2,2000,5692.0,76.5
2,2001,5681.0,76.5
2,2002,5642.8,76.6
2,2003,5587.2,76.3
2,2004,5606.4,77.6
2,2005,5584.8,77.8
2,2006,5546.2,77.7
2,2007,5584.0,77.7
2,2008,5612.2,78.8
2,2009,5702.2,79.1
2,2010,5730.4,79.1
2,2011,5863.6,79.5
2,2012,5912.2,79.7
2,2013,6053.0,80.2
2,2014,6214.8,80.5
2,2015,6336.8,80.6
2,2016,6405.2,81.0
2,2017,6412.6,80.4
2,2018,6451.4,80.7
2,2019,6518.4,81.1
2,2020,6596.4,80.5
2,2021,6651.0,81.0
2,2022,6745.0,81.3
2,2023,6814.2,81.7
2,2024,6784.6,81.7
2,2025,7167.0,81.7
2,2026,7547.0,81.7
2,2027,7659.0,81.7
2,2028,7753.0,81.7
2,2029,7833.0,81.7
2,2030,7899.0,81.7
2,2031,7960.0,81.7
2,2032,8006.0,81.7
2,2033,8038.0,81.7
2,2034,8055.0,81.7
2,2035,8064.0,81.7
2,2036,8066.0,81.7
2,2037,8064.0,81.7
2,2038,8060.0,81.7
2,2039,8058.0,81.7
2,2040,8059.0,81.7
2,2041,8063.0,81.7
2,2042,8075.0,81.7
2,2043,8089.0,81.7
2,2044,8108.0,81.7
2,2045,8130.0,81.7
2,2046,8157.0,81.7
2,2047,8184.0,81.7
2,2048,8214.0,81.7
2,2049,8243.0,81.7
2,2050,8272.0,81.7
2,2051,8301.0,81.7
2,2052,8329.0,81.7
2,2053,8358.0,81.7
2,2054,8388.0,81.7
2,2055,8418.0,81.7
2,2056,8450.0,81.7
2,2057,8481.0,81.7
2,2058,8513.0,81.7
2,2059,8543.0,81.7
2,2060,8571.0,81.7
2,2061,8595.0,81.7
2,2062,8616.0,81.7
2,2063,8632.0,81.7
2,2064,8642.0,81.7
2,2065,8648.0,81.7
2,2066,8648.0,81.7
2,2067,8642.0,81.7
2,2068,8633.0,81.7
2,2069,8621.0,81.7
2,2070,8607.0,81.7
2,2071,8591.0,81.7
2,2072,8575.0,81.7
2,2073,8559.0,81.7
2,2074,8544.0,81.7
2,2075,8531.0,81.7
2,2076,8521.0,81.7
2,2077,8512.0,81.7
2,2078,8506.0,81.7
2,2079,8501.0,81.7
2,2080,8499.0,81.7
2,2081,8499.0,81.7
2,2082,8499.0,81.7
2,2083,8503.0,81.7
2,2084,8507.0,81.7
2,2085,8513.0,81.7
2,2086,8519.0,81.7
2,2087,8525.0,81.7
2,2088,8533.0,81.7
2,2089,8541.0,81.7
2,2090,8548.0,81.7
2,2091,8555.0,81.7
2,2092,8561.0,81.7
2,2093,8567.0,81.7
2,2094,8571.0,81.7
2,2095,8573.0,81.7
2,2096,8574.0,81.7
2,2097,8573.0,81.7
2,2098,8571.0,81.7
2,2099,8566.0,81.7
2,2100,8561.0,81.7
3,1960,4867.0,68.3
3,1961,4895.6,68.3
3,1965,5098.4,68.3
