Age,Year,Population,Life_Expectancy,Retirement_age,Contribution_rate,1999_dummy,Reference_amount_1984,Birth_Year
1,1960,4867.0,70.1,62.1,0.24,0,2085,1959
1,1961,4895.6,70.1,62.1,0.24,0,2085,1960
1,1965,5098.4,70.1,62.1,0.24,0,2085,1964
1,1967,5172.0,70.1,62.1,0.24,0,2085,1966
1,1970,4738.2,70.1,62.1,0.24,0,2085,1969
1,1971,4706.4,70.1,62.1,0.24,0,2085,1970
1,1972,4601.0,70.8,62.1,0.24,0,2085,1971
1,1973,4451.8,70.7,62.1,0.24,0,2085,1972
1,1974,4264.4,70.7,62.1,0.24,0,2085,1973
1,1975,4167.6,70.8,62.1,0.24,0,2085,1974
1,1976,4087.2,71.0,62.1,0.24,0,2085,1975
1,1977,3960.6,71.9,62.1,0.24,0,2085,1976
1,1978,3924.6,71.8,62.1,0.24,0,2085,1977
1,1979,3950.4,72.7,62.1,0.24,0,2085,1978
1,1980,4070.2,72.7,62.1,0.24,0,2085,1979
1,1981,4123.8,72.6,62.1,0.24,0,2085,1980
1,1982,4231.2,72.5,62.1,0.24,0,2085,1981
1,1983,4252.2,73.3,62.1,0.24,0,2085,1982
1,1984,4257.2,73.2,62.1,0.24,0,2085,1983
1,1985,4240.4,73.5,62.1,0.24,0,2085,1984
1,1986,4218.4,74.3,62.1,0.24,0,2085,1985
1,1987,4222.2,74.0,62.1,0.24,0,2085,1986
1,1988,4258.2,74.7,62.1,0.24,0,2085,1987
1,1989,4391.2,74.6,62.1,0.24,0,2085,1988
1,1990,4540.4,75.2,62.1,0.24,0,2085,1989
1,1991,4785.6,75.4,62.1,0.24,0,2085,1990
1,1992,4937.6,75.0,62.2,0.24,0,2085,1991
1,1993,5128.2,75.4,60.8,0.24,0,2085,1992
1,1994,5270.4,76.1,61.8,0.24,0,2085,1993
1,1995,5433.2,76.2,62.0,0.24,0,2085,1994
1,1996,5496.0,76.2,61.8,0.24,0,2085,1995
1,1997,5627.0,76.5,61.8,0.24,0,2085,1996
1,1998,5688.4,76.7,61.9,0.24,0,2085,1997
1,1999,5683.8,77.4,62.3,0.24,0,2085,1998
1,2000,5692.0,77.4,62.4,0.24,1,2085,1999
1,2001,5681.0,77.5,62.5,0.24,1,2085,2000
1,2002,5642.8,77.5,62.2,0.24,1,2085,2001
1,2003,5587.2,77.2,62.0,0.24,1,2085,2002
1,2004,5606.4,78.6,61.7,0.24,1,2085,2003
1,2005,5584.8,78.8,61.6,0.24,1,2085,2004
1,2006,5546.2,78.6,61.5,0.24,1,2085,2005
1,2007,5584.0,78.7,61.5,0.24,1,2085,2006
1,2008,5612.2,79.8,61.4,0.24,1,2085,2007
1,2009,5702.2,80.0,61.4,0.24,1,2085,2008
1,2010,5730.4,80.1,61.3,0.24,1,2085,2009
1,2011,5863.6,80.4,61.4,0.24,1,2085,2010
1,2012,5912.2,80.7,61.7,0.24,1,2085,2011
1,2013,6053.0,81.2,61.6,0.24,1,2085,2012
1,2014,6214.8,81.5,61.6,0.24,1,2085,2013
1,2015,6336.8,81.6,61.6,0.24,1,2085,2014
1,2016,6405.2,82.0,61.6,0.24,1,2085,2015
1,2017,6412.6,81.4,61.8,0.24,1,2085,2016
1,2018,6451.4,81.7,61.7,0.24,1,2085,2017
1,2019,6518.4,82.1,61.7,0.24,1,2085,2018
1,2020,6596.4,81.5,61.7,0.24,1,2085,2019
1,2021,6651.0,81.9,61.6,0.24,1,2085,2020
1,2022,6745.0,82.3,61.6,0.24,1,2085,2021
1,2023,6814.2,82.7,61.4,0.24,1,2085,2022
1,2024,6784.6,82.7,61.4,0.24,1,2085,2023
1,2025,7416.0,82.7,61.4,0.24,1,2085,2024
