Age,Year,Population
1,1960,4867.0
1,1961,4895.6
1,1965,5098.4
1,1967,5172.0
1,1970,4738.2
1,1971,4706.4
1,1972,4601.0
1,1973,4451.8
1,1974,4264.4
1,1975,4167.6
1,1976,4087.2
1,1977,3960.6
1,1978,3924.6
1,1979,3950.4
1,1980,4070.2
1,1981,4123.8
1,1982,4231.2
1,1983,4252.2
1,1984,4257.2
1,1985,4240.4
1,1986,4218.4
1,1987,4222.2
1,1988,4258.2
1,1989,4391.2
1,1990,4540.4
1,1991,4785.6
1,1992,4937.6
1,1993,5128.2
1,1994,5270.4
1,1995,5433.2
1,1996,5496.0
1,1997,5627.0
1,1998,5688.4
1,1999,5683.8
1,2000,5692.0
1,2001,5681.0
1,2002,5642.8
1,2003,5587.2
1,2004,5606.4
1,2005,5584.8
1,2006,5546.2
1,2007,5584.0
1,2008,5612.2
1,2009,5702.2
1,2010,5730.4
1,2011,5863.6
1,2012,5912.2
1,2013,6053.0
1,2014,6214.8
1,2015,6336.8
1,2016,6405.2
1,2017,6412.6
1,2018,6451.4
1,2019,6518.4
1,2020,6596.4
1,2021,6651.0
1,2022,6745.0
1,2023,6814.2
1,2024,6784.6
2,1960,4867.0
2,1961,4895.6
2,1965,5098.4
2,1967,5172.0
2,1970,4738.2
2,1971,4706.4
2,1972,4601.0
2,1973,4451.8
2,1974,4264.4
2,1975,4167.6
2,1976,4087.2
2,1977,3960.6
2,1978,3924.6
2,1979,3950.4
2,1980,4070.2
2,1981,4123.8
2,1982,4231.2
2,1983,4252.2
2,1984,4257.2
2,1985,4240.4
2,1986,4218.4
2,1987,4222.2
2,1988,4258.2
2,1989,4391.2
2,1990,4540.4
2,1991,4785.6
2,1992,4937.6
2,1993,5128.2
2,1994,5270.4
2,1995,5433.2
2,1996,5496.0
2,1997,5627.0
2,1998,5688.4
2,1999,5683.8
2,2000,5692.0
2,2001,5681.0
2,2002,5642.8
2,2003,5587.2
2,2004,5606.4
2,2005,5584.8
2,2006,5546.2
2,2007,5584.0
2,2008,5612.2
2,2009,5702.2
2,2010,5730.4
2,2011,5863.6
2,2012,5912.2
2,2013,6053.0
2,2014,6214.8
2,2015,6336.8
2,2016,6405.2
2,2017,6412.6
2,2018,6451.4
2,2019,6518.4
2,2020,6596.4
2,2021,6651.0
2,2022,6745.0
2,2023,6814.2
2,2024,6784.6
3,1960,4867.0
3,1961,4895.6
3,1965,5098.4
3,1967,5172.0
3,1970,4738.2
3,1971,4706.4
3,1972,4601.0
3,1973,4451.8
3,1974,4264.4
3,1975,4167.6
3,1976,4087.2
3,1977,3960.6
3,1978,3924.6
3,1979,3950.4
3,1980,4070.2
3,1981,4123.8
3,1982,4231.2
3,1983,4252.2
3,1984,4257.2
3,1985,4240.4
3,1986,4218.4
3,1987,4222.2
3,1988,4258.2
3,1989,4391.2
3,1990,4540.4
3,1991,4785.6
3,1992,4937.6
3,1993,5128.2
3,1994,5270.4
3,1995,5433.2
3,1996,5496.0
3,1997,5627.0
3,1998,5688.4
3,1999,5683.8
3,2000,5692.0
3,2001,5681.0
3,2002,5642.8
3,2003,5587.2
3,2004,5606.4
3,2005,5584.8
3,2006,5546.2
3,2007,5584.0
3,2008,5612.2
3,2009,5702.2
3,2010,5730.4
3,2011,5863.6
3,2012,5912.2
3,2013,6053.0
3,2014,6214.8
3,2015,6336.8
3,2016,6405.2
3,2017,6412.6
3,2018,6451.4
3,2019,6518.4
3,2020,6596.4
3,2021,6651.0
3,2022,6745.0
3,2023,6814.2
3,2024,6784.6
4,1960,4867.0
4,1961,4895.6
4,1965,5098.4
4,1967,5172.0
4,1970,4738.2
4,1971,4706.4
4,1972,4601.0
4,1973,4451.8
4,1974,4264.4
4,1975,4167.6
4,1976,4087.2
4,1977,3960.6
4,1978,3924.6
4,1979,3950.4
4,1980,4070.2
4,1981,4123.8
4,1982,4231.2
4,1983,4252.2
4,1984,4257.2
4,1985,4240.4
4,1986,4218.4
4,1987,4222.2
4,1988,4258.2
4,1989,4391.2
4,1990,4540.4
4,1991,4785.6
4,1992,4937.6
4,1993,5128.2
4,1994,5270.4
4,1995,5433.2
4,1996,5496.0
4,1997,5627.0
4,1998,5688.4
4,1999,5683.8
4,2000,5692.0
4,2001,5681.0
4,2002,5642.8
4,2003,5587.2
4,2004,5606.4
4,2005,5584.8
4,2006,5546.2
4,2007,5584.0
4,2008,5612.2
4,2009,5702.2
4,2010,5730.4
4,2011,5863.6
4,2012,5912.2
4,2013,6053.0
4,2014,6214.8
4,2015,6336.8
4,2016,6405.2
4,2017,6412.6
4,2018,6451.4
4,2019,6518.4
4,2020,6596.4
4,2021,6651.0
4,2022,6745.0
4,2023,6814.2
4,2024,6784.6
5,1960,4867.0
5,1961,4895.6
5,1965,5098.4
5,1967,5172.0
5,1970,4738.2
5,1971,4706.4
5,1972,4601.0
5,1973,4451.8
5,1974,4264.4
5,1975,4167.6
5,1976,4087.2
5,1977,3960.6
5,1978,3924.6
5,1979,3950.4
5,1980,4070.2
5,1981,4123.8
5,1982,4231.2
5,1983,4252.2
5,1984,4257.2
5,1985,4240.4
5,1986,4218.4
5,1987,4222.2
5,1988,4258.2
5,1989,4391.2
5,1990,4540.4
